"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","46","L-S1, L-S2, L-S3, L-S4: successfully logs in, stores data, and navigates","Login Component","Fri Nov 07 08:49:22 UTC 2025","passed","Fri Nov 07 08:49:22 UTC 2025","","","",""
"","31","H-F1: displays error message if initial data fetch fails","Home Component (Weather Dashboard)","Fri Nov 07 08:49:22 UTC 2025","passed","Fri Nov 07 08:49:23 UTC 2025","","","",""
"","97","H-U3: prevents search submission if the input is empty","Home Component (Weather Dashboard)","Fri Nov 07 08:49:22 UTC 2025","passed","Fri Nov 07 08:49:22 UTC 2025","","","",""
"","135","F-2: should display specific API error message on registration failure","Register Component","Fri Nov 07 08:49:22 UTC 2025","passed","Fri Nov 07 08:49:23 UTC 2025","","","",""
"","164","L-R1: renders login form with all required elements","Login Component","Fri Nov 07 08:49:22 UTC 2025","passed","Fri Nov 07 08:49:22 UTC 2025","","","",""
"","59","V-5: should show an error if passwords do not match","Register Component","Fri Nov 07 08:49:22 UTC 2025","passed","Fri Nov 07 08:49:22 UTC 2025","","","",""
"","136","H-U1: successfully searches for a new city and updates the dashboard","Home Component (Weather Dashboard)","Fri Nov 07 08:49:22 UTC 2025","passed","Fri Nov 07 08:49:22 UTC 2025","","","",""
"","66","L-F2: displays specific error message from the API","Login Component","Fri Nov 07 08:49:22 UTC 2025","passed","Fri Nov 07 08:49:23 UTC 2025","","","",""
"","171","S-1, S-4: should successfully register, store data, and redirect to /home","Register Component","Fri Nov 07 08:49:22 UTC 2025","passed","Fri Nov 07 08:49:22 UTC 2025","","","",""
"","1","should","group","Fri Nov 07 08:49:23 UTC 2025","passed","Fri Nov 07 08:49:23 UTC 2025","","","",""
"","50","H-S1, H-S2, H-S3: fetches data for default city and displays all dashboard components","Home Component (Weather Dashboard)","Fri Nov 07 08:49:22 UTC 2025","passed","Fri Nov 07 08:49:22 UTC 2025","","","",""
"","53","L-V1: shows error message when fields are empty on submit","Login Component","Fri Nov 07 08:49:22 UTC 2025","passed","Fri Nov 07 08:49:22 UTC 2025","","","",""
"","96","H-F2, H-F3: retains old data on search failure and clears error on subsequent success","Home Component (Weather Dashboard)","Fri Nov 07 08:49:23 UTC 2025","passed","Fri Nov 07 08:49:23 UTC 2025","","","",""
"","15","H-R4: initially hides weather data, charts, and error alerts","Home Component (Weather Dashboard)","Fri Nov 07 08:49:22 UTC 2025","passed","Fri Nov 07 08:49:22 UTC 2025","","","",""
"","66","H-R1, H-R2, H-R3: renders initial UI, default city, and loading state","Home Component (Weather Dashboard)","Fri Nov 07 08:49:22 UTC 2025","passed","Fri Nov 07 08:49:22 UTC 2025","","","",""
"","82","L-F1, L-F3, L-F4: handles generic API login failure correctly","Login Component","Fri Nov 07 08:49:22 UTC 2025","passed","Fri Nov 07 08:49:22 UTC 2025","","","",""
